idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,33,sun,sunlight,1.0,0.7841899991035461,479,128
1,lang,33,automobile,car,1.0,0.782216489315033,103,1323
2,lang,33,river,water,0.98,0.7933651208877563,374,2461
3,lang,33,stair,staircase,0.98,0.7498345375061035,104,124
4,lang,33,morning,sunrise,0.98,0.6080530285835266,249,102
5,lang,33,rain,storm,0.98,0.6802663803100586,209,139
6,lang,33,cat,kitten,0.98,0.8493385910987854,1566,132
7,lang,33,dance,dancer,0.98,0.8388888239860535,228,65
8,lang,33,camera,photography,0.98,0.6181014776229858,770,105
9,lang,33,cat,feline,0.96,0.6470466256141663,1566,7
10,lang,33,sunny,sunshine,0.96,0.6980499029159546,202,103
11,lang,33,pregnancy,pregnant,0.96,0.68796706199646,18,102
12,lang,33,beach,sand,0.96,0.7756347060203552,1389,311
13,lang,33,bakery,bread,0.96,0.6638932824134827,110,280
14,lang,33,flower,garden,0.96,0.6774492263793945,412,225
15,lang,33,grass,lawn,0.96,0.7302793860435486,993,179
16,lang,33,copper,metal,0.96,0.7288967967033386,51,377
17,lang,33,photo,photography,0.94,0.7258739471435547,1000,105
18,lang,33,cemetery,graveyard,0.94,0.8972402215003967,144,104
19,lang,33,gravestone,graveyard,0.94,0.6607884168624878,87,104
20,lang,33,sun,sunshine,0.94,0.7573517560958862,479,103
21,lang,33,black,dark,0.94,0.7286078929901123,2353,500
22,lang,33,cathedral,church,0.94,0.8035977482795715,116,548
23,lang,33,frozen,ice,0.94,0.7347866892814636,121,311
24,lang,33,station,subway,0.94,0.6588764786720276,393,157
25,lang,33,child,kid,0.92,0.8622933030128479,740,244
26,lang,33,aquarium,fish,0.92,0.6907901167869568,104,347
27,lang,33,light,lighting,0.92,0.7934938669204712,820,157
28,lang,33,fungi,mushroom,0.92,0.6940786838531494,10,101
29,lang,33,frost,snow,0.92,0.7418673634529114,52,1158
30,lang,33,burn,flame,0.92,0.7160425782203674,70,91
31,lang,33,ocean,sea,0.92,0.8448695540428162,598,255
32,lang,33,candy,chocolate,0.92,0.6201497316360474,218,262
33,lang,33,car,vehicle,0.92,0.7960816621780396,1323,241
34,lang,33,concert,music,0.92,0.7360414862632751,165,289
35,lang,33,photo,picture,0.92,0.8642023205757141,1000,1857
36,lang,33,grape,wine,0.92,0.6172516942024231,41,408
37,lang,33,bath,bathroom,0.92,0.825914740562439,142,1149
38,lang,33,bud,flower,0.92,0.6199585795402527,58,412
39,lang,33,cat,kitty,0.92,0.7563109397888184,1566,114
40,lang,33,ocean,water,0.92,0.7556304931640625,598,2461
41,lang,33,aircraft,airplane,0.92,0.9023563265800476,114,430
42,lang,33,butterfly,caterpillar,0.92,0.60905921459198,104,30
43,lang,33,hair,wig,0.92,0.6813212633132935,387,112
44,lang,33,blossom,bud,0.92,0.6105220913887024,76,58
45,lang,33,highway,road,0.92,0.8340274691581726,170,1136
46,lang,33,bunny,rabbit,0.92,0.8536375761032104,121,107
47,lang,33,bread,sandwich,0.92,0.722854733467102,280,540
48,lang,33,mist,misty,0.92,0.71089106798172,78,62
49,lang,33,flower,petal,0.92,0.6928974986076355,412,12
50,lang,33,airplane,flight,0.92,0.7280939221382141,430,132
51,lang,33,fish,fishing,0.92,0.7268921136856079,347,144
52,lang,33,ice,snow,0.92,0.6100764870643616,311,1158
53,lang,33,bright,sun,0.9,0.5580081939697266,390,479
54,lang,33,shade,tree,0.9,0.46142178773880005,137,1119
55,lang,33,bicycle,bike,0.9,0.9052310585975647,266,501
56,lang,33,truck,vehicle,0.9,0.7420780062675476,1043,241
57,lang,33,shore,water,0.9,0.6300466656684875,240,2461
58,lang,33,boat,fishing,0.9,0.6117371916770935,781,144
59,lang,33,dog,puppy,0.9,0.8508351445198059,1873,126
60,lang,33,bride,wedding,0.9,0.8111385107040405,410,494
61,lang,33,bird,hummingbird,0.9,0.8281564712524414,739,74
62,lang,33,sea,water,0.9,0.7607463002204895,255,2461
63,lang,33,cow,milk,0.9,0.4919479191303253,307,131
64,lang,33,bird,feather,0.9,0.6024441719055176,739,73
65,lang,33,skate,skating,0.9,0.7482940554618835,216,119
66,lang,33,chapel,church,0.9,0.7999537587165833,100,548
67,lang,33,branch,twig,0.9,0.6798325181007385,214,46
68,lang,33,concert,musician,0.9,0.6675276160240173,165,100
69,lang,33,clothe,dress,0.9,0.5530019998550415,11,383
70,lang,33,automobile,vehicle,0.9,0.7323499917984009,103,241
71,lang,33,splash,swimming,0.9,0.5961447358131409,100,194
72,lang,33,bed,furniture,0.9,0.5875332951545715,1129,190
73,lang,33,aircraft,flight,0.9,0.7082239985466003,114,132
74,lang,33,reptile,snake,0.9,0.6389973163604736,24,102
75,lang,33,motorcycle,scooter,0.9,0.6558453440666199,594,111
76,lang,33,coffee,tea,0.9,0.7670058608055115,416,131
77,lang,33,feather,goose,0.9,0.5763311982154846,73,98
78,lang,33,pool,swimming,0.9,0.7185929417610168,233,194
79,lang,33,eye,face,0.9,0.703096330165863,178,625
80,lang,33,dirt,dirty,0.9,0.5765609741210938,301,169
81,lang,33,railway,train,0.9,0.801693320274353,108,1433
82,lang,33,harbour,port,0.9,0.7216216325759888,11,106
83,lang,33,fruit,strawberry,0.9,0.6709262728691101,397,112
84,lang,33,flight,plane,0.9,0.7623363733291626,132,506
