idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,33,cord,smile,0.005,0.4368731379508972,100,191
1,lang,33,rooster,voyage,0.01,0.32788509130477905,75,14
2,lang,33,noon,string,0.01,0.34845811128616333,42,119
3,lang,33,fruit,furnace,0.0125,0.33155733346939087,397,17
4,lang,33,autograph,shore,0.015,0.3191373646259308,35,240
5,lang,33,automobile,wizard,0.0275,0.3846861720085144,103,45
6,lang,33,mound,stove,0.035,0.3316994309425354,114,256
7,lang,33,grin,implement,0.045,0.3930136561393738,38,5
8,lang,33,asylum,fruit,0.0475,0.32102033495903015,5,397
9,lang,33,asylum,monk,0.0975,0.4210714101791382,5,66
10,lang,33,graveyard,madhouse,0.105,0.33241701126098633,104,1
11,lang,33,glass,magician,0.11,0.38167670369148254,920,19
12,lang,33,boy,rooster,0.11,0.33155307173728943,1272,75
13,lang,33,cushion,jewel,0.1125,0.4252082109451294,99,7
14,lang,33,monk,slave,0.1425,0.5176002979278564,66,8
15,lang,33,asylum,cemetery,0.1975,0.4818601906299591,5,144
16,lang,33,coast,forest,0.2125,0.4287906587123871,122,277
17,lang,33,grin,lad,0.22,0.5103639960289001,38,13
18,lang,33,shore,woodland,0.225,0.44853702187538147,240,18
19,lang,33,monk,oracle,0.2275,0.42556092143058777,66,8
20,lang,33,boy,sage,0.24,0.29997730255126953,1272,10
21,lang,33,automobile,cushion,0.2425,0.38344061374664307,103,99
22,lang,33,mound,shore,0.2425,0.3994603157043457,114,240
23,lang,33,lad,wizard,0.2475,0.6302429437637329,13,45
24,lang,33,forest,graveyard,0.25,0.5402719378471375,277,104
25,lang,33,food,rooster,0.2725,0.37040993571281433,1536,75
26,lang,33,cemetery,woodland,0.295,0.5420783162117004,144,18
27,lang,33,shore,voyage,0.305,0.4874732494354248,240,14
28,lang,33,bird,woodland,0.31,0.3176132142543793,739,18
29,lang,33,coast,hill,0.315,0.47691476345062256,122,307
30,lang,33,furnace,implement,0.3425,0.31605464220046997,17,5
31,lang,33,crane,rooster,0.3525,0.5562810897827148,104,75
32,lang,33,hill,woodland,0.37,0.444884330034256,307,18
33,lang,33,car,journey,0.3875,0.45680803060531616,1323,114
34,lang,33,cemetery,mound,0.4225,0.40402698516845703,144,114
35,lang,33,glass,jewel,0.445,0.4679236114025116,920,7
36,lang,33,magician,oracle,0.455,0.49643900990486145,19,8
37,lang,33,crane,implement,0.5925,0.3529636561870575,104,5
38,lang,33,brother,lad,0.6025,0.5046085119247437,262,13
39,lang,33,sage,wizard,0.615,0.4909690022468567,10,45
40,lang,33,oracle,sage,0.6525,0.4779129922389984,8,10
41,lang,33,bird,crane,0.6575,0.5808836221694946,739,104
42,lang,33,bird,cock,0.6575,0.45134520530700684,739,21
43,lang,33,food,fruit,0.6725,0.657584547996521,1536,397
44,lang,33,brother,monk,0.685,0.5565319061279297,262,66
45,lang,33,asylum,madhouse,0.76,0.3123685419559479,5,1
46,lang,33,furnace,stove,0.7775,0.606076717376709,17,256
47,lang,33,magician,wizard,0.8025,0.7428367733955383,19,45
48,lang,33,hill,mound,0.8225,0.491434246301651,307,114
49,lang,33,cord,string,0.8525,0.6928027868270874,100,119
50,lang,33,glass,tumbler,0.8625,0.6376135349273682,920,5
51,lang,33,grin,smile,0.865,0.8255999684333801,38,191
52,lang,33,serf,slave,0.865,0.5635502338409424,1,8
53,lang,33,journey,voyage,0.895,0.8204038143157959,114,14
54,lang,33,autograph,signature,0.8975,0.5379269123077393,35,29
55,lang,33,coast,shore,0.9,0.7676300406455994,122,240
56,lang,33,forest,woodland,0.9125,0.8209277391433716,277,18
57,lang,33,implement,tool,0.915,0.5045994520187378,5,100
58,lang,33,cock,rooster,0.92,0.5856532454490662,21,75
59,lang,33,boy,lad,0.955,0.6376506686210632,1272,13
60,lang,33,cushion,pillow,0.96,0.8155409097671509,99,138
61,lang,33,cemetery,graveyard,0.97,0.8972402215003967,144,104
62,lang,33,automobile,car,0.98,0.782216489315033,103,1323
63,lang,33,midday,noon,0.985,0.8246685266494751,29,42
64,lang,33,gem,jewel,0.985,0.738623321056366,13,7
