idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,33,old,new,0.158,0.6370599865913391,1795,890
1,lang,33,smart,intelligent,0.9199999999999999,0.5329047441482544,119,15
2,lang,33,hard,difficult,0.877,0.7298030853271484,387,112
3,lang,33,happy,cheerful,0.9550000000000001,0.7264379858970642,583,38
4,lang,33,hard,easy,0.095,0.7128603458404541,387,133
5,lang,33,fast,rapid,0.875,0.7302662134170532,165,26
6,lang,33,happy,glad,0.917,0.8048181533813477,583,145
7,lang,33,short,long,0.123,0.7535672783851624,188,869
8,lang,33,stupid,dumb,0.958,0.7721222043037415,47,23
9,lang,33,weird,strange,0.893,0.8475167751312256,141,164
10,lang,33,wide,narrow,0.10300000000000001,0.632358968257904,178,133
11,lang,33,bad,awful,0.842,0.5837379693984985,179,37
12,lang,33,easy,difficult,0.057999999999999996,0.6965506076812744,133,112
13,lang,33,bad,terrible,0.778,0.7773046493530273,179,88
14,lang,33,hard,simple,0.13799999999999998,0.5447424650192261,387,139
15,lang,33,smart,dumb,0.05500000000000001,0.5961447954177856,119,23
16,lang,33,insane,crazy,0.9570000000000001,0.7903103828430176,16,145
17,lang,33,happy,mad,0.095,0.6532718539237976,583,103
18,lang,33,large,huge,0.9470000000000001,0.8194423913955688,3327,376
19,lang,33,hard,tough,0.805,0.8368363380432129,387,105
20,lang,33,new,fresh,0.683,0.6344906687736511,890,303
21,lang,33,sharp,dull,0.06,0.5794012546539307,105,42
22,lang,33,quick,rapid,0.97,0.635187029838562,150,26
23,lang,33,dumb,foolish,0.667,0.6095929145812988,23,4
24,lang,33,wonderful,terrific,0.8630000000000001,0.776595413684845,192,29
25,lang,33,strange,odd,0.9019999999999999,0.7801825404167175,164,129
26,lang,33,happy,angry,0.128,0.6252586841583252,583,110
27,lang,33,narrow,broad,0.118,0.6786134243011475,133,34
28,lang,33,simple,easy,0.9400000000000001,0.6608734726905823,139,133
29,lang,33,old,fresh,0.087,0.5380730032920837,1795,303
30,lang,33,apparent,obvious,0.8470000000000001,0.8490117788314819,38,45
31,lang,33,inexpensive,cheap,0.8720000000000001,0.8061549067497253,8,68
32,lang,33,nice,generous,0.5,0.5788241028785706,494,22
33,lang,33,weird,normal,0.072,0.6000247597694397,141,105
34,lang,33,weird,odd,0.9199999999999999,0.7687102556228638,141,129
35,lang,33,sad,funny,0.095,0.6317331790924072,142,189
36,lang,33,wonderful,great,0.805,0.7929715514183044,192,1194
37,lang,33,guilty,ashamed,0.638,0.6626499891281128,8,9
38,lang,33,beautiful,wonderful,0.65,0.7602313756942749,1052,192
39,lang,33,confident,sure,0.827,0.5579854249954224,34,399
40,lang,33,dumb,dense,0.727,0.3976331949234009,23,101
41,lang,33,large,big,0.9550000000000001,0.736674964427948,3327,987
42,lang,33,nice,cruel,0.067,0.5093895792961121,494,5
43,lang,33,impatient,anxious,0.603,0.7706806063652039,20,73
44,lang,33,big,broad,0.673,0.5342111587524414,987,34
45,lang,33,strong,proud,0.317,0.596025824546814,121,178
46,lang,33,restless,young,0.16,0.4009055495262146,22,2164
47,lang,33,dumb,intelligent,0.075,0.5285739302635193,23,15
48,lang,33,bad,great,0.034999999999999996,0.7718390822410583,179,1194
49,lang,33,difficult,simple,0.087,0.6072885394096375,112,139
50,lang,33,necessary,important,0.737,0.6518185138702393,66,193
51,lang,33,bad,terrific,0.065,0.4425186812877655,179,29
52,lang,33,mad,glad,0.145,0.5900949239730835,103,145
53,lang,33,honest,guilty,0.118,0.5223565101623535,11,8
54,lang,33,easy,tough,0.052000000000000005,0.6755997538566589,133,105
55,lang,33,easy,flexible,0.41,0.5305325984954834,133,12
56,lang,33,certain,sure,0.842,0.5668822526931763,99,399
57,lang,33,essential,necessary,0.897,0.7336739897727966,15,66
58,lang,33,different,normal,0.10800000000000001,0.5584391951560974,721,105
59,lang,33,sly,clever,0.725,0.6332585215568542,12,28
