idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,30,take,remove,0.6809999999999999,0.6357144713401794,874,61
1,lang,30,walk,trail,0.481,0.6047220826148987,563,171
2,lang,30,feed,starve,0.149,0.632292628288269,120,2
3,lang,30,shine,polish,0.78,0.4891023337841034,102,36
4,lang,30,cheat,sneak,0.365,0.5232897400856018,3,35
5,lang,30,smell,sniff,0.7969999999999999,0.7077876925468445,101,29
6,lang,30,plow,dig,0.6639999999999999,0.47645553946495056,83,101
7,lang,30,believe,pretend,0.16599999999999998,0.5331802368164062,146,83
8,lang,30,tap,pat,0.697,0.5586095452308655,24,17
9,lang,30,crunch,crack,0.365,0.45151984691619873,5,73
10,lang,30,erode,destroy,0.634,0.5479201078414917,1,20
11,lang,30,try,practice,0.465,0.6481656432151794,257,124
12,lang,30,tear,fold,0.066,0.5733854174613953,45,45
13,lang,30,replace,move,0.149,0.5954546928405762,28,138
14,lang,30,respond,ignore,0.08299999999999999,0.4873775839805603,10,22
15,lang,30,laugh,sing,0.199,0.6210810542106628,122,111
16,lang,30,attack,sneak,0.16599999999999998,0.5173406004905701,52,35
17,lang,30,descend,go,0.33199999999999996,0.4983501136302948,24,910
18,lang,30,miss,catch,0.0,0.5737013816833496,107,220
19,lang,30,feel,touch,0.78,0.6871421337127686,166,117
20,lang,30,connect,separate,0.149,0.5159884095191956,38,108
21,lang,30,decay,deteriorate,0.8130000000000001,0.5483430027961731,6,2
22,lang,30,protect,defend,0.78,0.8227482438087463,89,17
23,lang,30,describe,define,0.7969999999999999,0.6367101669311523,80,2
24,lang,30,drive,walk,0.149,0.74565190076828,198,563
25,lang,30,build,grow,0.481,0.7317048907279968,127,113
26,lang,30,cover,protect,0.6809999999999999,0.6058396697044373,181,89
27,lang,30,dislike,ignore,0.315,0.4564613997936249,4,22
28,lang,30,forget,recall,0.033,0.6392515897750854,111,14
29,lang,30,comprehend,learn,0.73,0.555960476398468,2,131
30,lang,30,reflect,look,0.41500000000000004,0.5415822863578796,79,885
31,lang,30,defeat,beat,0.8470000000000001,0.5880749821662903,12,115
32,lang,30,know,inform,0.199,0.5206093192100525,288,3
33,lang,30,remind,repeat,0.5309999999999999,0.47972676157951355,59,6
34,lang,30,go,let,0.282,0.7062273025512695,910,258
35,lang,30,go,advance,0.6639999999999999,0.5132507681846619,910,15
36,lang,30,recommend,assist,0.41500000000000004,0.5256876349449158,28,30
37,lang,30,shake,shiver,0.631,0.4559515118598938,104,2
38,lang,30,take,carry,0.564,0.7021529674530029,874,111
39,lang,30,accomplish,succeed,0.8300000000000001,0.6890763640403748,15,4
40,lang,30,drive,operate,0.49800000000000005,0.5528771281242371,198,24
41,lang,30,ask,tell,0.066,0.7471901774406433,114,165
42,lang,30,bend,break,0.465,0.5571682453155518,100,182
43,lang,30,tear,break,0.614,0.6298527717590332,45,182
44,lang,30,jump,skip,0.548,0.6072520017623901,156,15
45,lang,30,agree,admit,0.398,0.5822210907936096,32,39
46,lang,30,give,bring,0.49800000000000005,0.7483393549919128,216,148
47,lang,30,go,move,0.631,0.7529704570770264,910,138
48,lang,30,kill,shoot,0.5309999999999999,0.6505647897720337,60,115
49,lang,30,crunch,chew,0.647,0.5506907105445862,5,41
50,lang,30,carry,tow,0.49800000000000005,0.5589138269424438,111,127
51,lang,30,sing,hum,0.5980000000000001,0.30500853061676025,111,1
52,lang,30,dismay,upset,0.6639999999999999,0.4695313274860382,5,100
53,lang,30,shun,ignore,0.8630000000000001,0.5267153382301331,2,22
54,lang,30,believe,know,0.365,0.618398904800415,146,288
55,lang,30,hurt,smash,0.465,0.47332942485809326,107,20
56,lang,30,prefer,hate,0.1,0.6614839434623718,39,96
57,lang,30,cook,bake,0.78,0.6329747438430786,133,100
58,lang,30,break,destroy,0.8300000000000001,0.4942623972892761,182,20
59,lang,30,hit,slap,0.7969999999999999,0.5941705703735352,313,10
60,lang,30,wrap,tie,0.5309999999999999,0.5039991140365601,108,513
61,lang,30,show,preview,0.564,0.5538449287414551,648,8
62,lang,30,pounce,bounce,0.29900000000000004,0.2176264077425003,9,60
63,lang,30,respect,like,0.548,0.5213439464569092,101,1813
64,lang,30,sell,purchase,0.21600000000000003,0.7834404110908508,113,104
