idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,20,sun,sunlight,1.0,0.8099233508110046,479,128
1,lang,20,automobile,car,1.0,0.8165938258171082,103,1323
2,lang,20,river,water,0.98,0.7062955498695374,374,2461
3,lang,20,stair,staircase,0.98,0.767662763595581,104,124
4,lang,20,morning,sunrise,0.98,0.6166529059410095,249,102
5,lang,20,rain,storm,0.98,0.6338584423065186,209,139
6,lang,20,cat,kitten,0.98,0.8609285950660706,1566,132
7,lang,20,dance,dancer,0.98,0.776500403881073,228,65
8,lang,20,camera,photography,0.98,0.5788775682449341,770,105
9,lang,20,cat,feline,0.96,0.5863889455795288,1566,7
10,lang,20,sunny,sunshine,0.96,0.6217249631881714,202,103
11,lang,20,pregnancy,pregnant,0.96,0.6064538359642029,18,102
12,lang,20,beach,sand,0.96,0.6687639951705933,1389,311
13,lang,20,bakery,bread,0.96,0.5382866263389587,110,280
14,lang,20,flower,garden,0.96,0.5044502019882202,412,225
15,lang,20,grass,lawn,0.96,0.7165657877922058,993,179
16,lang,20,copper,metal,0.96,0.7574895024299622,51,377
17,lang,20,photo,photography,0.94,0.649908185005188,1000,105
18,lang,20,cemetery,graveyard,0.94,0.8989850282669067,144,104
19,lang,20,gravestone,graveyard,0.94,0.6524204611778259,87,104
20,lang,20,sun,sunshine,0.94,0.7515889406204224,479,103
21,lang,20,black,dark,0.94,0.6712338924407959,2353,500
22,lang,20,cathedral,church,0.94,0.8674530386924744,116,548
23,lang,20,frozen,ice,0.94,0.7052459716796875,121,311
24,lang,20,station,subway,0.94,0.5527859330177307,393,157
25,lang,20,child,kid,0.92,0.8545600175857544,740,244
26,lang,20,aquarium,fish,0.92,0.6277732849121094,104,347
27,lang,20,light,lighting,0.92,0.8028035163879395,820,157
28,lang,20,fungi,mushroom,0.92,0.6630488634109497,10,101
29,lang,20,frost,snow,0.92,0.7994608879089355,52,1158
30,lang,20,burn,flame,0.92,0.7584885954856873,70,91
31,lang,20,ocean,sea,0.92,0.896672248840332,598,255
32,lang,20,candy,chocolate,0.92,0.5671228170394897,218,262
