idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,16,cord,smile,0.005,0.26363930106163025,100,191
1,lang,16,rooster,voyage,0.01,0.2850918769836426,75,14
2,lang,16,noon,string,0.01,0.3013674020767212,42,119
3,lang,16,fruit,furnace,0.0125,0.32856833934783936,397,17
4,lang,16,autograph,shore,0.015,0.29193711280822754,35,240
5,lang,16,automobile,wizard,0.0275,0.30433720350265503,103,45
6,lang,16,mound,stove,0.035,0.43650922179222107,114,256
7,lang,16,grin,implement,0.045,0.28227749466896057,38,5
8,lang,16,asylum,fruit,0.0475,0.2865525186061859,5,397
9,lang,16,asylum,monk,0.0975,0.45135170221328735,5,66
10,lang,16,graveyard,madhouse,0.105,0.3043125867843628,104,1
11,lang,16,glass,magician,0.11,0.2811354696750641,920,19
12,lang,16,boy,rooster,0.11,0.39497214555740356,1272,75
13,lang,16,cushion,jewel,0.1125,0.3099480867385864,99,7
14,lang,16,monk,slave,0.1425,0.4756917357444763,66,8
15,lang,16,asylum,cemetery,0.1975,0.5206054449081421,5,144
16,lang,16,coast,forest,0.2125,0.3905637562274933,122,277
17,lang,16,grin,lad,0.22,0.3213731646537781,38,13
18,lang,16,shore,woodland,0.225,0.3474169969558716,240,18
19,lang,16,monk,oracle,0.2275,0.4096512198448181,66,8
20,lang,16,boy,sage,0.24,0.30157145857810974,1272,10
21,lang,16,automobile,cushion,0.2425,0.3436201214790344,103,99
22,lang,16,mound,shore,0.2425,0.4697532057762146,114,240
23,lang,16,lad,wizard,0.2475,0.4953596293926239,13,45
24,lang,16,forest,graveyard,0.25,0.4704988896846771,277,104
25,lang,16,food,rooster,0.2725,0.3607200086116791,1536,75
26,lang,16,cemetery,woodland,0.295,0.43949607014656067,144,18
27,lang,16,shore,voyage,0.305,0.3807543218135834,240,14
28,lang,16,bird,woodland,0.31,0.30434659123420715,739,18
29,lang,16,coast,hill,0.315,0.44264867901802063,122,307
30,lang,16,furnace,implement,0.3425,0.38065630197525024,17,5
31,lang,16,crane,rooster,0.3525,0.5097337365150452,104,75
32,lang,16,hill,woodland,0.37,0.3542781174182892,307,18
33,lang,16,car,journey,0.3875,0.35302457213401794,1323,114
34,lang,16,cemetery,mound,0.4225,0.3920844495296478,144,114
35,lang,16,glass,jewel,0.445,0.3596388101577759,920,7
36,lang,16,magician,oracle,0.455,0.3562985360622406,19,8
37,lang,16,crane,implement,0.5925,0.34869372844696045,104,5
38,lang,16,brother,lad,0.6025,0.38389793038368225,262,13
39,lang,16,sage,wizard,0.615,0.49258968234062195,10,45
40,lang,16,oracle,sage,0.6525,0.4233529567718506,8,10
41,lang,16,bird,crane,0.6575,0.48818522691726685,739,104
42,lang,16,bird,cock,0.6575,0.5093243718147278,739,21
43,lang,16,food,fruit,0.6725,0.6184034943580627,1536,397
44,lang,16,brother,monk,0.685,0.4077067971229553,262,66
45,lang,16,asylum,madhouse,0.76,0.35441553592681885,5,1
46,lang,16,furnace,stove,0.7775,0.603482723236084,17,256
47,lang,16,magician,wizard,0.8025,0.6563875079154968,19,45
48,lang,16,hill,mound,0.8225,0.512619137763977,307,114
49,lang,16,cord,string,0.8525,0.6490989327430725,100,119
50,lang,16,glass,tumbler,0.8625,0.4957147538661957,920,5
51,lang,16,grin,smile,0.865,0.8474753499031067,38,191
52,lang,16,serf,slave,0.865,0.3955796957015991,1,8
53,lang,16,journey,voyage,0.895,0.844175398349762,114,14
54,lang,16,autograph,signature,0.8975,0.43602633476257324,35,29
55,lang,16,coast,shore,0.9,0.6899173855781555,122,240
56,lang,16,forest,woodland,0.9125,0.748949408531189,277,18
57,lang,16,implement,tool,0.915,0.5101853013038635,5,100
58,lang,16,cock,rooster,0.92,0.5758613348007202,21,75
59,lang,16,boy,lad,0.955,0.6122459769248962,1272,13
60,lang,16,cushion,pillow,0.96,0.7742752432823181,99,138
61,lang,16,cemetery,graveyard,0.97,0.8569585084915161,144,104
62,lang,16,automobile,car,0.98,0.7299796938896179,103,1323
63,lang,16,midday,noon,0.985,0.46872568130493164,29,42
64,lang,16,gem,jewel,0.985,0.6168054342269897,13,7
