idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,22,old,new,0.158,0.5252782702445984,1795,890
1,lang,22,smart,intelligent,0.9199999999999999,0.575372040271759,119,15
2,lang,22,hard,difficult,0.877,0.7837482690811157,387,112
3,lang,22,happy,cheerful,0.9550000000000001,0.7572247385978699,583,38
4,lang,22,hard,easy,0.095,0.7191687226295471,387,133
5,lang,22,fast,rapid,0.875,0.7120674252510071,165,26
6,lang,22,happy,glad,0.917,0.7826173305511475,583,145
7,lang,22,short,long,0.123,0.7561279535293579,188,869
8,lang,22,stupid,dumb,0.958,0.7241767048835754,47,23
9,lang,22,weird,strange,0.893,0.8926722407341003,141,164
10,lang,22,wide,narrow,0.10300000000000001,0.6608507633209229,178,133
11,lang,22,bad,awful,0.842,0.7010098695755005,179,37
12,lang,22,easy,difficult,0.057999999999999996,0.7923572063446045,133,112
13,lang,22,bad,terrible,0.778,0.8072835206985474,179,88
14,lang,22,hard,simple,0.13799999999999998,0.5651699900627136,387,139
15,lang,22,smart,dumb,0.05500000000000001,0.56496262550354,119,23
16,lang,22,insane,crazy,0.9570000000000001,0.8228487372398376,16,145
17,lang,22,happy,mad,0.095,0.5989762544631958,583,103
18,lang,22,large,huge,0.9470000000000001,0.8394256830215454,3327,376
19,lang,22,hard,tough,0.805,0.8252785801887512,387,105
20,lang,22,new,fresh,0.683,0.5962379574775696,890,303
21,lang,22,sharp,dull,0.06,0.6300890445709229,105,42
22,lang,22,quick,rapid,0.97,0.6736875772476196,150,26
23,lang,22,dumb,foolish,0.667,0.7353772521018982,23,4
24,lang,22,wonderful,terrific,0.8630000000000001,0.7595326900482178,192,29
25,lang,22,strange,odd,0.9019999999999999,0.865742564201355,164,129
26,lang,22,happy,angry,0.128,0.5988660454750061,583,110
27,lang,22,narrow,broad,0.118,0.7028256058692932,133,34
28,lang,22,simple,easy,0.9400000000000001,0.724755048751831,139,133
29,lang,22,old,fresh,0.087,0.5039060115814209,1795,303
30,lang,22,apparent,obvious,0.8470000000000001,0.8522266149520874,38,45
31,lang,22,inexpensive,cheap,0.8720000000000001,0.8301469087600708,8,68
32,lang,22,nice,generous,0.5,0.6165323853492737,494,22
33,lang,22,weird,normal,0.072,0.6009735465049744,141,105
34,lang,22,weird,odd,0.9199999999999999,0.8288253545761108,141,129
35,lang,22,sad,funny,0.095,0.6172369122505188,142,189
36,lang,22,wonderful,great,0.805,0.8252195119857788,192,1194
37,lang,22,guilty,ashamed,0.638,0.7036213874816895,8,9
38,lang,22,beautiful,wonderful,0.65,0.7921935319900513,1052,192
39,lang,22,confident,sure,0.827,0.635823130607605,34,399
40,lang,22,dumb,dense,0.727,0.5296124815940857,23,101
41,lang,22,large,big,0.9550000000000001,0.7796900868415833,3327,987
42,lang,22,nice,cruel,0.067,0.5598891377449036,494,5
43,lang,22,impatient,anxious,0.603,0.6725245118141174,20,73
44,lang,22,big,broad,0.673,0.624634325504303,987,34
45,lang,22,strong,proud,0.317,0.598419725894928,121,178
46,lang,22,restless,young,0.16,0.46101871132850647,22,2164
47,lang,22,dumb,intelligent,0.075,0.5954667925834656,23,15
48,lang,22,bad,great,0.034999999999999996,0.6597988605499268,179,1194
49,lang,22,difficult,simple,0.087,0.6029923558235168,112,139
50,lang,22,necessary,important,0.737,0.7070697546005249,66,193
51,lang,22,bad,terrific,0.065,0.6101350784301758,179,29
52,lang,22,mad,glad,0.145,0.5286597609519958,103,145
53,lang,22,honest,guilty,0.118,0.4717675745487213,11,8
54,lang,22,easy,tough,0.052000000000000005,0.7324689030647278,133,105
55,lang,22,easy,flexible,0.41,0.6131955981254578,133,12
56,lang,22,certain,sure,0.842,0.5211438536643982,99,399
57,lang,22,essential,necessary,0.897,0.7913213968276978,15,66
58,lang,22,different,normal,0.10800000000000001,0.504339873790741,721,105
59,lang,22,sly,clever,0.725,0.734641432762146,12,28
60,lang,22,crucial,important,0.882,0.8649681210517883,10,193
61,lang,22,harsh,cruel,0.818,0.7706640958786011,16,5
62,lang,22,childish,foolish,0.55,0.7544345855712891,4,4
63,lang,22,scarce,rare,0.917,0.6976853609085083,7,99
64,lang,22,friendly,generous,0.5900000000000001,0.6584227085113525,121,22
65,lang,22,fragile,frigid,0.238,0.42642056941986084,8,19
66,lang,22,long,narrow,0.357,0.6361855864524841,869,133
67,lang,22,big,heavy,0.618,0.6486252546310425,987,140
68,lang,22,rough,frigid,0.24700000000000003,0.4591965675354004,114,19
69,lang,22,bizarre,strange,0.9369999999999999,0.8834286332130432,33,164
70,lang,22,bad,guilty,0.42000000000000004,0.6213212013244629,179,8
71,lang,22,modern,ancient,0.073,0.5291794538497925,249,149
72,lang,22,new,ancient,0.023,0.4476707875728607,890,149
73,lang,22,dull,funny,0.05500000000000001,0.5902501344680786,42,189
74,lang,22,happy,young,0.2,0.4567864239215851,583,2164
75,lang,22,easy,big,0.11200000000000002,0.5563411712646484,133,987
76,lang,22,great,awful,0.11699999999999999,0.6260199546813965,1194,37
77,lang,22,tiny,huge,0.06,0.5849433541297913,159,376
78,lang,22,polite,proper,0.763,0.5203509330749512,12,77
79,lang,22,modest,ashamed,0.265,0.5802907347679138,35,9
80,lang,22,exotic,rare,0.805,0.6482024192810059,106,99
81,lang,22,dumb,clever,0.11699999999999999,0.6644718647003174,23,28
82,lang,22,delightful,wonderful,0.865,0.7706801295280457,37,192
83,lang,22,noticeable,obvious,0.8480000000000001,0.7331602573394775,14,45
84,lang,22,afraid,anxious,0.507,0.7044044733047485,100,73
85,lang,22,formal,proper,0.8019999999999999,0.5552241802215576,139,77
86,lang,22,dreary,dull,0.825,0.5884569883346558,77,42
87,lang,22,delightful,cheerful,0.658,0.6777846217155457,37,38
88,lang,22,unhappy,mad,0.595,0.6681587100028992,46,103
89,lang,22,sad,terrible,0.54,0.6358900666236877,142,88
90,lang,22,sick,crazy,0.357,0.570098876953125,94,145
91,lang,22,violent,angry,0.6980000000000001,0.7242622971534729,18,110
92,lang,22,laden,heavy,0.5900000000000001,0.6106582880020142,81,140
93,lang,22,dirty,cheap,0.16,0.6155469417572021,169,68
94,lang,22,elastic,flexible,0.778,0.6407558917999268,2,12
95,lang,22,hard,dense,0.5900000000000001,0.5073738694190979,387,101
96,lang,22,recent,new,0.705,0.5510310530662537,108,890
97,lang,22,bold,proud,0.397,0.5903850197792053,45,178
98,lang,22,sly,strange,0.197,0.5976348519325256,12,164
99,lang,22,strange,sly,0.207,0.5976348519325256,164,12
100,lang,22,dumb,rare,0.048,0.6340456604957581,23,99
101,lang,22,sly,tough,0.057999999999999996,0.5727415084838867,12,105
102,lang,22,terrific,mad,0.04,0.6618579030036926,29,103
103,lang,22,modest,flexible,0.098,0.6270208358764648,35,12
104,lang,22,fresh,wide,0.04,0.49698400497436523,303,178
105,lang,22,huge,dumb,0.048,0.5714758038520813,376,23
106,lang,22,large,flexible,0.048,0.5704401731491089,3327,12
107,lang,22,dirty,narrow,0.03,0.5721771717071533,169,133
108,lang,22,wife,husband,0.22999999999999998,0.7706031203269958,242,227
109,lang,22,book,text,0.635,0.525656521320343,396,102
110,lang,22,groom,bride,0.317,0.715118944644928,289,410
111,lang,22,night,day,0.188,0.5118104815483093,1281,2325
112,lang,22,south,north,0.22000000000000003,0.8112571239471436,101,90
113,lang,22,plane,airport,0.365,0.680109441280365,506,273
114,lang,22,uncle,aunt,0.55,0.8118483424186707,145,112
115,lang,22,horse,mare,0.833,0.8055618405342102,699,16
116,lang,22,bottom,top,0.06999999999999999,0.7112942934036255,184,2224
117,lang,22,friend,buddy,0.8779999999999999,0.7982569932937622,503,100
118,lang,22,world,globe,0.667,0.6829333901405334,248,94
119,lang,22,leg,arm,0.288,0.8083220720291138,134,246
120,lang,22,plane,jet,0.8099999999999999,0.8661064505577087,506,228
121,lang,22,woman,man,0.333,0.663318395614624,4511,8440
122,lang,22,horse,colt,0.7070000000000001,0.6060519814491272,699,25
123,lang,22,actress,actor,0.712,0.7706241011619568,14,47
124,lang,22,teacher,instructor,0.925,0.7723859548568726,133,101
125,lang,22,movie,film,0.8869999999999999,0.8657791018486023,197,108
126,lang,22,bird,hawk,0.7849999999999999,0.7154608964920044,739,95
127,lang,22,word,dictionary,0.368,0.4599098861217499,136,5
128,lang,22,money,salary,0.788,0.6275527477264404,153,3
129,lang,22,dog,cat,0.175,0.7728311419487,1873,1566
130,lang,22,area,region,0.9470000000000001,0.7506353259086609,1161,86
131,lang,22,navy,army,0.643,0.772244393825531,105,139
132,lang,22,book,literature,0.753,0.6711311936378479,396,24
133,lang,22,clothes,closet,0.327,0.5474066734313965,198,104
134,lang,22,sunset,sunrise,0.24700000000000003,0.8977542519569397,211,102
135,lang,22,child,adult,0.298,0.49864912033081055,740,233
136,lang,22,cow,cattle,0.952,0.7944299578666687,307,146
137,lang,22,book,story,0.563,0.5686487555503845,396,180
138,lang,22,winter,summer,0.238,0.6085405349731445,229,152
139,lang,22,taxi,cab,0.9199999999999999,0.7855457067489624,109,105
140,lang,22,tree,maple,0.553,0.571333110332489,1119,47
141,lang,22,bed,bedroom,0.33999999999999997,0.7676903605461121,1129,269
142,lang,22,roof,ceiling,0.758,0.6967819929122925,195,182
143,lang,22,disease,infection,0.7150000000000001,0.6100707650184631,11,1
144,lang,22,arm,shoulder,0.485,0.7116965055465698,246,125
145,lang,22,sheep,lamb,0.842,0.7667521834373474,498,104
146,lang,22,lady,gentleman,0.34199999999999997,0.5894635319709778,520,129
147,lang,22,boat,anchor,0.225,0.6850136518478394,781,59
148,lang,22,priest,monk,0.628,0.6801944971084595,110,66
149,lang,22,toe,finger,0.46799999999999997,0.6911032795906067,48,127
150,lang,22,river,stream,0.73,0.8057785630226135,374,129
151,lang,22,anger,fury,0.873,0.5578904747962952,18,6
152,lang,22,date,calendar,0.442,0.5381651520729065,124,87
153,lang,22,sea,ocean,0.827,0.9001940488815308,255,598
154,lang,22,second,minute,0.462,0.5681887269020081,156,104
155,lang,22,hand,thumb,0.388,0.62604159116745,913,82
156,lang,22,wood,log,0.73,0.6100764870643616,379,133
157,lang,22,mud,dirt,0.732,0.7166237235069275,120,301
158,lang,22,hallway,corridor,0.9279999999999999,0.9006631970405579,114,54
159,lang,22,way,manner,0.762,0.6077153086662292,782,64
160,lang,22,mouse,cat,0.11200000000000002,0.5515226721763611,209,1566
161,lang,22,cop,sheriff,0.905,0.7521158456802368,101,23
162,lang,22,death,burial,0.493,0.6634828448295593,107,47
163,lang,22,music,melody,0.6980000000000001,0.7313880920410156,289,10
164,lang,22,beer,alcohol,0.75,0.7850723266601562,320,136
165,lang,22,mouth,lip,0.71,0.5815754532814026,340,62
166,lang,22,storm,hurricane,0.638,0.7915185689926147,139,36
167,lang,22,tax,income,0.238,0.6309974193572998,11,13
168,lang,22,flower,violet,0.6950000000000001,0.5865079760551453,412,29
169,lang,22,paper,cardboard,0.538,0.7305684685707092,444,118
170,lang,22,floor,ceiling,0.173,0.6701269745826721,630,182
171,lang,22,beach,seashore,0.833,0.745194137096405,1389,53
172,lang,22,rod,curtain,0.303,0.548188328742981,89,131
173,lang,22,hound,fox,0.238,0.6938149929046631,29,68
174,lang,22,street,alley,0.548,0.6932216286659241,2608,109
175,lang,22,boat,deck,0.42800000000000005,0.5694498419761658,781,142
176,lang,22,car,horn,0.257,0.516208291053772,1323,102
177,lang,22,friend,guest,0.425,0.596178412437439,503,117
178,lang,22,employer,employee,0.365,0.6934230327606201,2,81
179,lang,22,hand,wrist,0.397,0.6140281558036804,913,68
180,lang,22,ball,cannon,0.258,0.5357688665390015,997,71
181,lang,22,alcohol,brandy,0.6980000000000001,0.7217022776603699,136,4
182,lang,22,victory,triumph,0.898,0.7817239761352539,103,23
183,lang,22,telephone,booth,0.363,0.5447476506233215,108,157
184,lang,22,door,doorway,0.54,0.7831029295921326,414,122
185,lang,22,motel,inn,0.817,0.7832263112068176,111,67
186,lang,22,clothes,cloth,0.5469999999999999,0.5835987329483032,198,150
187,lang,22,steak,meat,0.747,0.7596614360809326,119,343
188,lang,22,nail,thumb,0.355,0.5220416784286499,40,82
189,lang,22,band,orchestra,0.708,0.7622501850128174,372,46
190,lang,22,book,bible,0.5,0.673833966255188,396,51
191,lang,22,business,industry,0.702,0.7089921832084656,268,20
192,lang,22,winter,season,0.627,0.6112622022628784,229,116
193,lang,22,decade,century,0.348,0.6648436784744263,12,99
194,lang,22,alcohol,gin,0.865,0.576207160949707,136,10
195,lang,22,hat,coat,0.267,0.6575832366943359,625,181
196,lang,22,window,door,0.333,0.6807893514633179,818,414
197,lang,22,arm,wrist,0.357,0.7050971984863281,246,68
198,lang,22,house,apartment,0.58,0.6917281150817871,933,164
199,lang,22,glass,crystal,0.627,0.5754325985908508,920,102
200,lang,22,wine,brandy,0.515,0.6570090651512146,408,4
201,lang,22,creator,maker,0.962,0.5178298950195312,10,103
202,lang,22,dinner,breakfast,0.333,0.770960807800293,451,188
203,lang,22,arm,muscle,0.372,0.5357868075370789,246,44
204,lang,22,bubble,suds,0.857,0.57830810546875,96,4
205,lang,22,bread,flour,0.333,0.7029573321342468,280,50
206,lang,22,death,tragedy,0.58,0.67373126745224,107,12
207,lang,22,absence,presence,0.04,0.7023124098777771,3,54
208,lang,22,gun,cannon,0.568,0.7338201403617859,116,71
