idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,16,sun,sunlight,1.0,0.7605032920837402,479,128
1,lang,16,automobile,car,1.0,0.6922761797904968,103,1323
2,lang,16,river,water,0.98,0.5920301079750061,374,2461
3,lang,16,stair,staircase,0.98,0.744941234588623,104,124
4,lang,16,morning,sunrise,0.98,0.5362427234649658,249,102
5,lang,16,rain,storm,0.98,0.5630257725715637,209,139
6,lang,16,cat,kitten,0.98,0.7961088418960571,1566,132
7,lang,16,dance,dancer,0.98,0.7145296335220337,228,65
8,lang,16,camera,photography,0.98,0.46864762902259827,770,105
9,lang,16,cat,feline,0.96,0.5585617423057556,1566,7
10,lang,16,sunny,sunshine,0.96,0.5836724042892456,202,103
11,lang,16,pregnancy,pregnant,0.96,0.6485320329666138,18,102
12,lang,16,beach,sand,0.96,0.5701467394828796,1389,311
13,lang,16,bakery,bread,0.96,0.5267736315727234,110,280
14,lang,16,flower,garden,0.96,0.5388691425323486,412,225
15,lang,16,grass,lawn,0.96,0.6775914430618286,993,179
16,lang,16,copper,metal,0.96,0.6336627006530762,51,377
17,lang,16,photo,photography,0.94,0.5727596282958984,1000,105
18,lang,16,cemetery,graveyard,0.94,0.8477237820625305,144,104
19,lang,16,gravestone,graveyard,0.94,0.5941886901855469,87,104
20,lang,16,sun,sunshine,0.94,0.7206879258155823,479,103
21,lang,16,black,dark,0.94,0.6147295236587524,2353,500
22,lang,16,cathedral,church,0.94,0.7794385552406311,116,548
23,lang,16,frozen,ice,0.94,0.6383527517318726,121,311
24,lang,16,station,subway,0.94,0.4443298876285553,393,157
25,lang,16,child,kid,0.92,0.7234609723091125,740,244
26,lang,16,aquarium,fish,0.92,0.5682414174079895,104,347
27,lang,16,light,lighting,0.92,0.7329920530319214,820,157
28,lang,16,fungi,mushroom,0.92,0.6860085129737854,10,101
29,lang,16,frost,snow,0.92,0.7092070579528809,52,1158
30,lang,16,burn,flame,0.92,0.6007289290428162,70,91
31,lang,16,ocean,sea,0.92,0.7953090071678162,598,255
32,lang,16,candy,chocolate,0.92,0.5585877895355225,218,262
33,lang,16,car,vehicle,0.92,0.8208572268486023,1323,241
34,lang,16,concert,music,0.92,0.6599282622337341,165,289
35,lang,16,photo,picture,0.92,0.8777343034744263,1000,1857
36,lang,16,grape,wine,0.92,0.6184151768684387,41,408
37,lang,16,bath,bathroom,0.92,0.6274948716163635,142,1149
38,lang,16,bud,flower,0.92,0.5149487853050232,58,412
