idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,14,cord,smile,0.005,0.2484302520751953,100,191
1,lang,14,rooster,voyage,0.01,0.24221189320087433,75,14
2,lang,14,noon,string,0.01,0.34272846579551697,42,119
3,lang,14,fruit,furnace,0.0125,0.24942722916603088,397,17
4,lang,14,autograph,shore,0.015,0.20910649001598358,35,240
5,lang,14,automobile,wizard,0.0275,0.2582704722881317,103,45
6,lang,14,mound,stove,0.035,0.39075136184692383,114,256
7,lang,14,grin,implement,0.045,0.2760848104953766,38,5
8,lang,14,asylum,fruit,0.0475,0.23003780841827393,5,397
9,lang,14,asylum,monk,0.0975,0.378406286239624,5,66
10,lang,14,graveyard,madhouse,0.105,0.3361721634864807,104,1
11,lang,14,glass,magician,0.11,0.28993478417396545,920,19
12,lang,14,boy,rooster,0.11,0.35449105501174927,1272,75
13,lang,14,cushion,jewel,0.1125,0.28595420718193054,99,7
14,lang,14,monk,slave,0.1425,0.43447402119636536,66,8
15,lang,14,asylum,cemetery,0.1975,0.4704331159591675,5,144
16,lang,14,coast,forest,0.2125,0.3228585422039032,122,277
17,lang,14,grin,lad,0.22,0.33415383100509644,38,13
18,lang,14,shore,woodland,0.225,0.34471961855888367,240,18
19,lang,14,monk,oracle,0.2275,0.3914852738380432,66,8
20,lang,14,boy,sage,0.24,0.2695927321910858,1272,10
21,lang,14,automobile,cushion,0.2425,0.294197678565979,103,99
22,lang,14,mound,shore,0.2425,0.4055301547050476,114,240
23,lang,14,lad,wizard,0.2475,0.4901126027107239,13,45
24,lang,14,forest,graveyard,0.25,0.5293954610824585,277,104
25,lang,14,food,rooster,0.2725,0.31884297728538513,1536,75
26,lang,14,cemetery,woodland,0.295,0.5284023880958557,144,18
27,lang,14,shore,voyage,0.305,0.37050652503967285,240,14
28,lang,14,bird,woodland,0.31,0.3225742280483246,739,18
29,lang,14,coast,hill,0.315,0.3894231617450714,122,307
30,lang,14,furnace,implement,0.3425,0.32693472504615784,17,5
31,lang,14,crane,rooster,0.3525,0.4229324758052826,104,75
32,lang,14,hill,woodland,0.37,0.3856681287288666,307,18
33,lang,14,car,journey,0.3875,0.3258759081363678,1323,114
34,lang,14,cemetery,mound,0.4225,0.3909730911254883,144,114
35,lang,14,glass,jewel,0.445,0.277729332447052,920,7
36,lang,14,magician,oracle,0.455,0.3866901099681854,19,8
37,lang,14,crane,implement,0.5925,0.34680673480033875,104,5
38,lang,14,brother,lad,0.6025,0.371184766292572,262,13
39,lang,14,sage,wizard,0.615,0.43439462780952454,10,45
40,lang,14,oracle,sage,0.6525,0.40675675868988037,8,10
41,lang,14,bird,crane,0.6575,0.4749717712402344,739,104
42,lang,14,bird,cock,0.6575,0.41702714562416077,739,21
43,lang,14,food,fruit,0.6725,0.6717911958694458,1536,397
44,lang,14,brother,monk,0.685,0.3497084379196167,262,66
45,lang,14,asylum,madhouse,0.76,0.3549767732620239,5,1
46,lang,14,furnace,stove,0.7775,0.5932577848434448,17,256
47,lang,14,magician,wizard,0.8025,0.607764720916748,19,45
48,lang,14,hill,mound,0.8225,0.5354889631271362,307,114
49,lang,14,cord,string,0.8525,0.5940215587615967,100,119
50,lang,14,glass,tumbler,0.8625,0.459252268075943,920,5
51,lang,14,grin,smile,0.865,0.8563799262046814,38,191
52,lang,14,serf,slave,0.865,0.40644571185112,1,8
53,lang,14,journey,voyage,0.895,0.7676963806152344,114,14
54,lang,14,autograph,signature,0.8975,0.41381949186325073,35,29
55,lang,14,coast,shore,0.9,0.6610863208770752,122,240
56,lang,14,forest,woodland,0.9125,0.8008235692977905,277,18
57,lang,14,implement,tool,0.915,0.4368017017841339,5,100
58,lang,14,cock,rooster,0.92,0.4733181893825531,21,75
59,lang,14,boy,lad,0.955,0.5673412680625916,1272,13
60,lang,14,cushion,pillow,0.96,0.7511934638023376,99,138
61,lang,14,cemetery,graveyard,0.97,0.8307927250862122,144,104
62,lang,14,automobile,car,0.98,0.6818344593048096,103,1323
63,lang,14,midday,noon,0.985,0.5488917231559753,29,42
64,lang,14,gem,jewel,0.985,0.5973187685012817,13,7
