idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,18,old,new,0.158,0.5055067539215088,1795,890
1,lang,18,smart,intelligent,0.9199999999999999,0.5161235928535461,119,15
2,lang,18,hard,difficult,0.877,0.7408245801925659,387,112
3,lang,18,happy,cheerful,0.9550000000000001,0.6630833745002747,583,38
4,lang,18,hard,easy,0.095,0.6473225951194763,387,133
5,lang,18,fast,rapid,0.875,0.6540507078170776,165,26
6,lang,18,happy,glad,0.917,0.6864674091339111,583,145
7,lang,18,short,long,0.123,0.6967800855636597,188,869
8,lang,18,stupid,dumb,0.958,0.5274215936660767,47,23
9,lang,18,weird,strange,0.893,0.8337894082069397,141,164
10,lang,18,wide,narrow,0.10300000000000001,0.5830944180488586,178,133
11,lang,18,bad,awful,0.842,0.6007720232009888,179,37
12,lang,18,easy,difficult,0.057999999999999996,0.7166439890861511,133,112
13,lang,18,bad,terrible,0.778,0.733444333076477,179,88
14,lang,18,hard,simple,0.13799999999999998,0.4274003505706787,387,139
15,lang,18,smart,dumb,0.05500000000000001,0.5200756192207336,119,23
16,lang,18,insane,crazy,0.9570000000000001,0.7874993681907654,16,145
17,lang,18,happy,mad,0.095,0.4310304522514343,583,103
18,lang,18,large,huge,0.9470000000000001,0.836069643497467,3327,376
19,lang,18,hard,tough,0.805,0.7745559811592102,387,105
20,lang,18,new,fresh,0.683,0.5181595683097839,890,303
21,lang,18,sharp,dull,0.06,0.4924561381340027,105,42
22,lang,18,quick,rapid,0.97,0.5609111785888672,150,26
23,lang,18,dumb,foolish,0.667,0.5333054065704346,23,4
24,lang,18,wonderful,terrific,0.8630000000000001,0.7459914684295654,192,29
25,lang,18,strange,odd,0.9019999999999999,0.8085741996765137,164,129
26,lang,18,happy,angry,0.128,0.5780006647109985,583,110
27,lang,18,narrow,broad,0.118,0.629151463508606,133,34
28,lang,18,simple,easy,0.9400000000000001,0.6452577114105225,139,133
29,lang,18,old,fresh,0.087,0.4463355243206024,1795,303
30,lang,18,apparent,obvious,0.8470000000000001,0.796912431716919,38,45
31,lang,18,inexpensive,cheap,0.8720000000000001,0.7362648248672485,8,68
32,lang,18,nice,generous,0.5,0.49373430013656616,494,22
33,lang,18,weird,normal,0.072,0.44811591506004333,141,105
34,lang,18,weird,odd,0.9199999999999999,0.7564799785614014,141,129
35,lang,18,sad,funny,0.095,0.5972223281860352,142,189
36,lang,18,wonderful,great,0.805,0.7986108064651489,192,1194
37,lang,18,guilty,ashamed,0.638,0.5970452427864075,8,9
38,lang,18,beautiful,wonderful,0.65,0.7698375582695007,1052,192
39,lang,18,confident,sure,0.827,0.5722482204437256,34,399
40,lang,18,dumb,dense,0.727,0.34493425488471985,23,101
41,lang,18,large,big,0.9550000000000001,0.7990378737449646,3327,987
42,lang,18,nice,cruel,0.067,0.4154742956161499,494,5
43,lang,18,impatient,anxious,0.603,0.6437079310417175,20,73
44,lang,18,big,broad,0.673,0.49205297231674194,987,34
45,lang,18,strong,proud,0.317,0.4643296003341675,121,178
46,lang,18,restless,young,0.16,0.3826533854007721,22,2164
47,lang,18,dumb,intelligent,0.075,0.42465686798095703,23,15
48,lang,18,bad,great,0.034999999999999996,0.5412697196006775,179,1194
49,lang,18,difficult,simple,0.087,0.4722815752029419,112,139
50,lang,18,necessary,important,0.737,0.672841489315033,66,193
51,lang,18,bad,terrific,0.065,0.4229646623134613,179,29
52,lang,18,mad,glad,0.145,0.37268486618995667,103,145
53,lang,18,honest,guilty,0.118,0.4098944067955017,11,8
54,lang,18,easy,tough,0.052000000000000005,0.6382156610488892,133,105
55,lang,18,easy,flexible,0.41,0.4787961542606354,133,12
56,lang,18,certain,sure,0.842,0.5042731165885925,99,399
57,lang,18,essential,necessary,0.897,0.7387545108795166,15,66
58,lang,18,different,normal,0.10800000000000001,0.4213768541812897,721,105
59,lang,18,sly,clever,0.725,0.6075617074966431,12,28
60,lang,18,crucial,important,0.882,0.8226220607757568,10,193
61,lang,18,harsh,cruel,0.818,0.6017100214958191,16,5
62,lang,18,childish,foolish,0.55,0.5783709287643433,4,4
63,lang,18,scarce,rare,0.917,0.49154961109161377,7,99
64,lang,18,friendly,generous,0.5900000000000001,0.5199921131134033,121,22
65,lang,18,fragile,frigid,0.238,0.41762781143188477,8,19
66,lang,18,long,narrow,0.357,0.5442573428153992,869,133
67,lang,18,big,heavy,0.618,0.5383650064468384,987,140
68,lang,18,rough,frigid,0.24700000000000003,0.507786750793457,114,19
69,lang,18,bizarre,strange,0.9369999999999999,0.7744969725608826,33,164
70,lang,18,bad,guilty,0.42000000000000004,0.5082966089248657,179,8
71,lang,18,modern,ancient,0.073,0.5190887451171875,249,149
72,lang,18,new,ancient,0.023,0.4538838565349579,890,149
73,lang,18,dull,funny,0.05500000000000001,0.4114350378513336,42,189
74,lang,18,happy,young,0.2,0.39791008830070496,583,2164
75,lang,18,easy,big,0.11200000000000002,0.3828774392604828,133,987
76,lang,18,great,awful,0.11699999999999999,0.49290892481803894,1194,37
77,lang,18,tiny,huge,0.06,0.551261842250824,159,376
78,lang,18,polite,proper,0.763,0.4861505925655365,12,77
79,lang,18,modest,ashamed,0.265,0.3747291564941406,35,9
80,lang,18,exotic,rare,0.805,0.5443068146705627,106,99
81,lang,18,dumb,clever,0.11699999999999999,0.45488500595092773,23,28
82,lang,18,delightful,wonderful,0.865,0.7863520979881287,37,192
83,lang,18,noticeable,obvious,0.8480000000000001,0.6231027841567993,14,45
84,lang,18,afraid,anxious,0.507,0.6300845146179199,100,73
85,lang,18,formal,proper,0.8019999999999999,0.46324750781059265,139,77
86,lang,18,dreary,dull,0.825,0.5700097680091858,77,42
87,lang,18,delightful,cheerful,0.658,0.612298846244812,37,38
88,lang,18,unhappy,mad,0.595,0.48922982811927795,46,103
89,lang,18,sad,terrible,0.54,0.5577259063720703,142,88
90,lang,18,sick,crazy,0.357,0.4666784703731537,94,145
