idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,22,take,remove,0.6809999999999999,0.5860177278518677,874,61
1,lang,22,walk,trail,0.481,0.6190687417984009,563,171
2,lang,22,feed,starve,0.149,0.5102021098136902,120,2
3,lang,22,shine,polish,0.78,0.4775620102882385,102,36
4,lang,22,cheat,sneak,0.365,0.5042040944099426,3,35
5,lang,22,smell,sniff,0.7969999999999999,0.6481218338012695,101,29
6,lang,22,plow,dig,0.6639999999999999,0.5436673760414124,83,101
7,lang,22,believe,pretend,0.16599999999999998,0.505588948726654,146,83
8,lang,22,tap,pat,0.697,0.5303336381912231,24,17
9,lang,22,crunch,crack,0.365,0.5167839527130127,5,73
10,lang,22,erode,destroy,0.634,0.48352348804473877,1,20
11,lang,22,try,practice,0.465,0.5706716775894165,257,124
12,lang,22,tear,fold,0.066,0.6058019995689392,45,45
13,lang,22,replace,move,0.149,0.5005492568016052,28,138
14,lang,22,respond,ignore,0.08299999999999999,0.46169549226760864,10,22
15,lang,22,laugh,sing,0.199,0.6020330786705017,122,111
16,lang,22,attack,sneak,0.16599999999999998,0.4987983703613281,52,35
17,lang,22,descend,go,0.33199999999999996,0.5606427788734436,24,910
18,lang,22,miss,catch,0.0,0.5462408065795898,107,220
19,lang,22,feel,touch,0.78,0.5495097041130066,166,117
20,lang,22,connect,separate,0.149,0.4927126169204712,38,108
21,lang,22,decay,deteriorate,0.8130000000000001,0.5788196921348572,6,2
22,lang,22,protect,defend,0.78,0.8164719343185425,89,17
23,lang,22,describe,define,0.7969999999999999,0.5767809748649597,80,2
24,lang,22,drive,walk,0.149,0.7520182728767395,198,563
25,lang,22,build,grow,0.481,0.711735725402832,127,113
26,lang,22,cover,protect,0.6809999999999999,0.5585954785346985,181,89
27,lang,22,dislike,ignore,0.315,0.6211532354354858,4,22
28,lang,22,forget,recall,0.033,0.6701736450195312,111,14
29,lang,22,comprehend,learn,0.73,0.5914747714996338,2,131
30,lang,22,reflect,look,0.41500000000000004,0.6305299401283264,79,885
31,lang,22,defeat,beat,0.8470000000000001,0.6152485013008118,12,115
32,lang,22,know,inform,0.199,0.5229315161705017,288,3
33,lang,22,remind,repeat,0.5309999999999999,0.43829795718193054,59,6
34,lang,22,go,let,0.282,0.5763273239135742,910,258
35,lang,22,go,advance,0.6639999999999999,0.4878990054130554,910,15
36,lang,22,recommend,assist,0.41500000000000004,0.48837989568710327,28,30
37,lang,22,shake,shiver,0.631,0.38908976316452026,104,2
38,lang,22,take,carry,0.564,0.6232362985610962,874,111
39,lang,22,accomplish,succeed,0.8300000000000001,0.642249584197998,15,4
40,lang,22,drive,operate,0.49800000000000005,0.5790632367134094,198,24
41,lang,22,ask,tell,0.066,0.7078690528869629,114,165
42,lang,22,bend,break,0.465,0.4120822846889496,100,182
43,lang,22,tear,break,0.614,0.5032040476799011,45,182
44,lang,22,jump,skip,0.548,0.5337847471237183,156,15
45,lang,22,agree,admit,0.398,0.550616443157196,32,39
46,lang,22,give,bring,0.49800000000000005,0.6857583522796631,216,148
47,lang,22,go,move,0.631,0.6861653327941895,910,138
48,lang,22,kill,shoot,0.5309999999999999,0.6096200346946716,60,115
49,lang,22,crunch,chew,0.647,0.6374279260635376,5,41
50,lang,22,carry,tow,0.49800000000000005,0.566249668598175,111,127
51,lang,22,sing,hum,0.5980000000000001,0.3989847004413605,111,1
52,lang,22,dismay,upset,0.6639999999999999,0.48966431617736816,5,100
53,lang,22,shun,ignore,0.8630000000000001,0.47866883873939514,2,22
54,lang,22,believe,know,0.365,0.6238309741020203,146,288
55,lang,22,hurt,smash,0.465,0.5441496968269348,107,20
56,lang,22,prefer,hate,0.1,0.6566137671470642,39,96
57,lang,22,cook,bake,0.78,0.638081967830658,133,100
58,lang,22,break,destroy,0.8300000000000001,0.3832874298095703,182,20
59,lang,22,hit,slap,0.7969999999999999,0.6357866525650024,313,10
60,lang,22,wrap,tie,0.5309999999999999,0.5257635116577148,108,513
61,lang,22,show,preview,0.564,0.565863847732544,648,8
62,lang,22,pounce,bounce,0.29900000000000004,0.37649568915367126,9,60
63,lang,22,respect,like,0.548,0.43765172362327576,101,1813
64,lang,22,sell,purchase,0.21600000000000003,0.7115162014961243,113,104
65,lang,22,put,take,0.149,0.7109469771385193,391,874
66,lang,22,charge,cover,0.16599999999999998,0.43019282817840576,99,181
67,lang,22,melt,freeze,0.017,0.6212040185928345,39,38
68,lang,22,agree,differ,0.11599999999999999,0.577444851398468,32,4
69,lang,22,flap,fold,0.21600000000000003,0.6389483213424683,19,45
70,lang,22,die,survive,0.015,0.5086475610733032,64,32
71,lang,22,pull,lift,0.282,0.6478664875030518,118,111
72,lang,22,hitch,ride,0.44800000000000006,0.49037009477615356,44,454
73,lang,22,live,let,0.199,0.48672083020210266,180,258
74,lang,22,sow,plow,0.23199999999999998,0.5733832120895386,3,83
75,lang,22,destroy,kill,0.78,0.742413341999054,20,60
76,lang,22,obtain,get,0.93,0.6653386950492859,6,1251
77,lang,22,buy,sell,0.0,0.80176842212677,149,113
78,lang,22,deposit,put,0.647,0.41616693139076233,7,391
79,lang,22,rise,wake,0.8300000000000001,0.5120496153831482,108,115
80,lang,22,pray,kneel,0.183,0.5397907495498657,49,19
81,lang,22,jump,climb,0.199,0.6788051128387451,156,119
82,lang,22,rescue,survive,0.11599999999999999,0.43575218319892883,103,32
83,lang,22,succeed,overcome,0.697,0.4487825036048889,4,25
84,lang,22,look,examine,0.8300000000000001,0.6008893847465515,885,59
85,lang,22,delay,pause,0.8130000000000001,0.5992876291275024,4,47
86,lang,22,take,use,0.315,0.6178151965141296,874,230
87,lang,22,color,decorate,0.44800000000000006,0.46128466725349426,297,109
