idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,18,sun,sunlight,1.0,0.7727640867233276,479,128
1,lang,18,automobile,car,1.0,0.780613124370575,103,1323
2,lang,18,river,water,0.98,0.6873154640197754,374,2461
3,lang,18,stair,staircase,0.98,0.7936785221099854,104,124
4,lang,18,morning,sunrise,0.98,0.5829408168792725,249,102
5,lang,18,rain,storm,0.98,0.5781180262565613,209,139
6,lang,18,cat,kitten,0.98,0.839860737323761,1566,132
7,lang,18,dance,dancer,0.98,0.7684765458106995,228,65
8,lang,18,camera,photography,0.98,0.5523291230201721,770,105
9,lang,18,cat,feline,0.96,0.5592553615570068,1566,7
10,lang,18,sunny,sunshine,0.96,0.5879956483840942,202,103
11,lang,18,pregnancy,pregnant,0.96,0.6485788226127625,18,102
12,lang,18,beach,sand,0.96,0.6494631171226501,1389,311
13,lang,18,bakery,bread,0.96,0.5075874924659729,110,280
14,lang,18,flower,garden,0.96,0.5379937887191772,412,225
15,lang,18,grass,lawn,0.96,0.6934513449668884,993,179
16,lang,18,copper,metal,0.96,0.7123761773109436,51,377
17,lang,18,photo,photography,0.94,0.6621291637420654,1000,105
18,lang,18,cemetery,graveyard,0.94,0.8782288432121277,144,104
19,lang,18,gravestone,graveyard,0.94,0.62533038854599,87,104
20,lang,18,sun,sunshine,0.94,0.7456686496734619,479,103
21,lang,18,black,dark,0.94,0.6519439816474915,2353,500
22,lang,18,cathedral,church,0.94,0.8390904664993286,116,548
23,lang,18,frozen,ice,0.94,0.6875495910644531,121,311
24,lang,18,station,subway,0.94,0.5306624174118042,393,157
25,lang,18,child,kid,0.92,0.837468683719635,740,244
26,lang,18,aquarium,fish,0.92,0.5593388080596924,104,347
27,lang,18,light,lighting,0.92,0.7832172513008118,820,157
28,lang,18,fungi,mushroom,0.92,0.6738775968551636,10,101
29,lang,18,frost,snow,0.92,0.7747735381126404,52,1158
30,lang,18,burn,flame,0.92,0.707866370677948,70,91
31,lang,18,ocean,sea,0.92,0.8416678309440613,598,255
32,lang,18,candy,chocolate,0.92,0.6019352078437805,218,262
33,lang,18,car,vehicle,0.92,0.8484095931053162,1323,241
34,lang,18,concert,music,0.92,0.667988657951355,165,289
