idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,2,cord,smile,0.005,0.047886669635772705,100,191
1,lang,2,rooster,voyage,0.01,0.059011850506067276,75,14
2,lang,2,noon,string,0.01,0.06818706542253494,42,119
3,lang,2,fruit,furnace,0.0125,0.08382147550582886,397,17
4,lang,2,autograph,shore,0.015,0.052035536617040634,35,240
5,lang,2,automobile,wizard,0.0275,0.01580359973013401,103,45
6,lang,2,mound,stove,0.035,0.1753678321838379,114,256
7,lang,2,grin,implement,0.045,0.16031618416309357,38,5
8,lang,2,asylum,fruit,0.0475,0.0354597270488739,5,397
9,lang,2,asylum,monk,0.0975,0.11656957864761353,5,66
10,lang,2,graveyard,madhouse,0.105,0.11218728870153427,104,1
11,lang,2,glass,magician,0.11,0.07407079637050629,920,19
12,lang,2,boy,rooster,0.11,0.11639269441366196,1272,75
13,lang,2,cushion,jewel,0.1125,0.1797417253255844,99,7
14,lang,2,monk,slave,0.1425,0.1200941652059555,66,8
15,lang,2,asylum,cemetery,0.1975,0.2259710431098938,5,144
16,lang,2,coast,forest,0.2125,0.1412196308374405,122,277
17,lang,2,grin,lad,0.22,0.1000872403383255,38,13
18,lang,2,shore,woodland,0.225,0.12367083132266998,240,18
19,lang,2,monk,oracle,0.2275,0.13934598863124847,66,8
20,lang,2,boy,sage,0.24,0.03267882019281387,1272,10
21,lang,2,automobile,cushion,0.2425,0.0722036212682724,103,99
22,lang,2,mound,shore,0.2425,0.18765468895435333,114,240
23,lang,2,lad,wizard,0.2475,0.19314004480838776,13,45
24,lang,2,forest,graveyard,0.25,0.2068069577217102,277,104
25,lang,2,food,rooster,0.2725,0.10219556093215942,1536,75
26,lang,2,cemetery,woodland,0.295,0.2499217838048935,144,18
27,lang,2,shore,voyage,0.305,0.18038994073867798,240,14
28,lang,2,bird,woodland,0.31,0.09301581978797913,739,18
29,lang,2,coast,hill,0.315,0.176821768283844,122,307
30,lang,2,furnace,implement,0.3425,0.06620675325393677,17,5
31,lang,2,crane,rooster,0.3525,0.15506787598133087,104,75
32,lang,2,hill,woodland,0.37,0.1472388207912445,307,18
33,lang,2,car,journey,0.3875,0.08960682898759842,1323,114
34,lang,2,cemetery,mound,0.4225,0.1626993715763092,144,114
35,lang,2,glass,jewel,0.445,0.12240313738584518,920,7
36,lang,2,magician,oracle,0.455,0.11083444952964783,19,8
37,lang,2,crane,implement,0.5925,0.03197779878973961,104,5
38,lang,2,brother,lad,0.6025,0.13102346658706665,262,13
39,lang,2,sage,wizard,0.615,0.18878710269927979,10,45
40,lang,2,oracle,sage,0.6525,0.11995254456996918,8,10
41,lang,2,bird,crane,0.6575,0.1970859169960022,739,104
42,lang,2,bird,cock,0.6575,0.16905458271503448,739,21
43,lang,2,food,fruit,0.6725,0.36796194314956665,1536,397
44,lang,2,brother,monk,0.685,0.19487786293029785,262,66
45,lang,2,asylum,madhouse,0.76,0.17426228523254395,5,1
46,lang,2,furnace,stove,0.7775,0.31974998116493225,17,256
47,lang,2,magician,wizard,0.8025,0.37069711089134216,19,45
48,lang,2,hill,mound,0.8225,0.2958391308784485,307,114
49,lang,2,cord,string,0.8525,0.23356716334819794,100,119
50,lang,2,glass,tumbler,0.8625,0.18969695270061493,920,5
51,lang,2,grin,smile,0.865,0.6154395341873169,38,191
52,lang,2,serf,slave,0.865,0.1866701990365982,1,8
53,lang,2,journey,voyage,0.895,0.4942224621772766,114,14
54,lang,2,autograph,signature,0.8975,0.20494093000888824,35,29
55,lang,2,coast,shore,0.9,0.45497629046440125,122,240
56,lang,2,forest,woodland,0.9125,0.5294392704963684,277,18
57,lang,2,implement,tool,0.915,0.2677905857563019,5,100
58,lang,2,cock,rooster,0.92,0.1938449740409851,21,75
59,lang,2,boy,lad,0.955,0.32784390449523926,1272,13
60,lang,2,cushion,pillow,0.96,0.509502112865448,99,138
61,lang,2,cemetery,graveyard,0.97,0.6250380873680115,144,104
62,lang,2,automobile,car,0.98,0.4061547815799713,103,1323
63,lang,2,midday,noon,0.985,0.4265190660953522,29,42
64,lang,2,gem,jewel,0.985,0.3225787281990051,13,7
