idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,24,take,remove,0.6809999999999999,0.5331145524978638,874,61
1,lang,24,walk,trail,0.481,0.5840513706207275,563,171
2,lang,24,feed,starve,0.149,0.4846671521663666,120,2
3,lang,24,shine,polish,0.78,0.5420917868614197,102,36
4,lang,24,cheat,sneak,0.365,0.566700279712677,3,35
5,lang,24,smell,sniff,0.7969999999999999,0.7147202491760254,101,29
6,lang,24,plow,dig,0.6639999999999999,0.48884549736976624,83,101
7,lang,24,believe,pretend,0.16599999999999998,0.5231024622917175,146,83
8,lang,24,tap,pat,0.697,0.5785272717475891,24,17
9,lang,24,crunch,crack,0.365,0.48006755113601685,5,73
10,lang,24,erode,destroy,0.634,0.47233763337135315,1,20
11,lang,24,try,practice,0.465,0.6309497356414795,257,124
12,lang,24,tear,fold,0.066,0.5634798407554626,45,45
13,lang,24,replace,move,0.149,0.5988180637359619,28,138
14,lang,24,respond,ignore,0.08299999999999999,0.5375295281410217,10,22
15,lang,24,laugh,sing,0.199,0.5811032056808472,122,111
16,lang,24,attack,sneak,0.16599999999999998,0.49815428256988525,52,35
17,lang,24,descend,go,0.33199999999999996,0.43974363803863525,24,910
18,lang,24,miss,catch,0.0,0.5841646194458008,107,220
19,lang,24,feel,touch,0.78,0.6407290697097778,166,117
20,lang,24,connect,separate,0.149,0.5533806681632996,38,108
21,lang,24,decay,deteriorate,0.8130000000000001,0.5155158638954163,6,2
22,lang,24,protect,defend,0.78,0.7843381762504578,89,17
23,lang,24,describe,define,0.7969999999999999,0.7334408164024353,80,2
24,lang,24,drive,walk,0.149,0.7317274212837219,198,563
25,lang,24,build,grow,0.481,0.7289537191390991,127,113
26,lang,24,cover,protect,0.6809999999999999,0.6182736754417419,181,89
27,lang,24,dislike,ignore,0.315,0.606982946395874,4,22
28,lang,24,forget,recall,0.033,0.6948460340499878,111,14
29,lang,24,comprehend,learn,0.73,0.5717359781265259,2,131
30,lang,24,reflect,look,0.41500000000000004,0.5525992512702942,79,885
31,lang,24,defeat,beat,0.8470000000000001,0.5929563045501709,12,115
32,lang,24,know,inform,0.199,0.5566503405570984,288,3
33,lang,24,remind,repeat,0.5309999999999999,0.47376295924186707,59,6
34,lang,24,go,let,0.282,0.625426709651947,910,258
35,lang,24,go,advance,0.6639999999999999,0.47592419385910034,910,15
36,lang,24,recommend,assist,0.41500000000000004,0.5769361853599548,28,30
37,lang,24,shake,shiver,0.631,0.38305750489234924,104,2
38,lang,24,take,carry,0.564,0.6508267521858215,874,111
39,lang,24,accomplish,succeed,0.8300000000000001,0.7174654006958008,15,4
40,lang,24,drive,operate,0.49800000000000005,0.5622051954269409,198,24
41,lang,24,ask,tell,0.066,0.7011691927909851,114,165
42,lang,24,bend,break,0.465,0.5148215293884277,100,182
43,lang,24,tear,break,0.614,0.5112008452415466,45,182
44,lang,24,jump,skip,0.548,0.5988669991493225,156,15
45,lang,24,agree,admit,0.398,0.5574479699134827,32,39
46,lang,24,give,bring,0.49800000000000005,0.6931294798851013,216,148
47,lang,24,go,move,0.631,0.6943077445030212,910,138
48,lang,24,kill,shoot,0.5309999999999999,0.6083323955535889,60,115
49,lang,24,crunch,chew,0.647,0.6533960700035095,5,41
50,lang,24,carry,tow,0.49800000000000005,0.5333036780357361,111,127
51,lang,24,sing,hum,0.5980000000000001,0.3513469099998474,111,1
52,lang,24,dismay,upset,0.6639999999999999,0.5200947523117065,5,100
53,lang,24,shun,ignore,0.8630000000000001,0.5556317567825317,2,22
54,lang,24,believe,know,0.365,0.5912570357322693,146,288
55,lang,24,hurt,smash,0.465,0.46359124779701233,107,20
56,lang,24,prefer,hate,0.1,0.6801162958145142,39,96
57,lang,24,cook,bake,0.78,0.6545174717903137,133,100
58,lang,24,break,destroy,0.8300000000000001,0.44723445177078247,182,20
59,lang,24,hit,slap,0.7969999999999999,0.6607558727264404,313,10
60,lang,24,wrap,tie,0.5309999999999999,0.5052592158317566,108,513
61,lang,24,show,preview,0.564,0.5800732374191284,648,8
62,lang,24,pounce,bounce,0.29900000000000004,0.30026209354400635,9,60
63,lang,24,respect,like,0.548,0.5476364493370056,101,1813
64,lang,24,sell,purchase,0.21600000000000003,0.6993401646614075,113,104
65,lang,24,put,take,0.149,0.6353297233581543,391,874
66,lang,24,charge,cover,0.16599999999999998,0.5318044424057007,99,181
67,lang,24,melt,freeze,0.017,0.691943347454071,39,38
68,lang,24,agree,differ,0.11599999999999999,0.5636659264564514,32,4
69,lang,24,flap,fold,0.21600000000000003,0.6598949432373047,19,45
70,lang,24,die,survive,0.015,0.49081313610076904,64,32
71,lang,24,pull,lift,0.282,0.5921025276184082,118,111
72,lang,24,hitch,ride,0.44800000000000006,0.5623571872711182,44,454
73,lang,24,live,let,0.199,0.5490999221801758,180,258
74,lang,24,sow,plow,0.23199999999999998,0.46181848645210266,3,83
75,lang,24,destroy,kill,0.78,0.7549803853034973,20,60
76,lang,24,obtain,get,0.93,0.6100459098815918,6,1251
77,lang,24,buy,sell,0.0,0.7749761939048767,149,113
78,lang,24,deposit,put,0.647,0.4206119775772095,7,391
79,lang,24,rise,wake,0.8300000000000001,0.5207180976867676,108,115
80,lang,24,pray,kneel,0.183,0.5359737277030945,49,19
81,lang,24,jump,climb,0.199,0.7031040191650391,156,119
82,lang,24,rescue,survive,0.11599999999999999,0.44137924909591675,103,32
83,lang,24,succeed,overcome,0.697,0.4239438772201538,4,25
84,lang,24,look,examine,0.8300000000000001,0.5655641555786133,885,59
85,lang,24,delay,pause,0.8130000000000001,0.6601992845535278,4,47
86,lang,24,take,use,0.315,0.6811485290527344,874,230
87,lang,24,color,decorate,0.44800000000000006,0.5196868777275085,297,109
88,lang,24,get,achieve,0.631,0.5158168077468872,1251,17
89,lang,24,die,deteriorate,0.24900000000000003,0.44197168946266174,64,2
90,lang,24,treat,buy,0.49800000000000005,0.5309198498725891,120,149
91,lang,24,dump,waste,0.5980000000000001,0.540398120880127,103,89
92,lang,24,learn,evaluate,0.365,0.6277434825897217,131,4
93,lang,24,know,meet,0.282,0.6284118890762329,288,192
94,lang,24,compete,finish,0.49800000000000005,0.5407384037971497,102,164
95,lang,24,sing,rap,0.558,0.634553849697113,111,17
96,lang,24,beat,kill,0.365,0.6044543385505676,115,60
97,lang,24,thaw,melt,0.8470000000000001,0.4286627173423767,1,39
